,year,q,relative_price,area_and_rooms
42,2017.0,Q3,"1,193.8",3-2.5 (סך הכל)
43,2017.0,Q4,"1,166.2",3-2.5 (סך הכל)
44,2018.0,Q1,"1,167.6",3-2.5 (סך הכל)
45,2018.0,Q2,"1,189.0",3-2.5 (סך הכל)
46,2018.0,Q3,"1,196.4",3-2.5 (סך הכל)
47,2018.0,Q4,"1,177.4",3-2.5 (סך הכל)
48,2019.0,Q1,"1,181.6",3-2.5 (סך הכל)
49,2019.0,Q2,"1,205.9",3-2.5 (סך הכל)
50,2019.0,Q3,"1,165.8",3-2.5 (סך הכל)
51,2019.0,Q4,"1,208.0",3-2.5 (סך הכל)
52,2020.0,Q1,"1,260.2",3-2.5 (סך הכל)
53,2020.0,Q2,"1,183.2",3-2.5 (סך הכל)
54,2020.0,Q3,"1,192.9",3-2.5 (סך הכל)
55,2020.0,Q4,"1,230.3",3-2.5 (סך הכל)
56,2021.0,Q1,"1,291.2",3-2.5 (סך הכל)
57,2021.0,Q2,"1,245.7",3-2.5 (סך הכל)
58,2021.0,Q3,"1,286.5",3-2.5 (סך הכל)
59,2021.0,Q4,"1,322.2",3-2.5 (סך הכל)
60,2017.0,Q1,"1,528.0",4-3.5 (סך הכל)
61,2017.0,Q2,"1,472.0",4-3.5 (סך הכל)
62,2017.0,Q3,"1,509.2",4-3.5 (סך הכל)
63,2017.0,Q4,"1,507.8",4-3.5 (סך הכל)
64,2018.0,Q1,"1,518.3",4-3.5 (סך הכל)
65,2018.0,Q2,"1,530.3",4-3.5 (סך הכל)
66,2018.0,Q3,"1,536.0",4-3.5 (סך הכל)
67,2018.0,Q4,"1,503.9",4-3.5 (סך הכל)
68,2019.0,Q1,"1,496.6",4-3.5 (סך הכל)
69,2019.0,Q2,"1,568.7",4-3.5 (סך הכל)
70,2019.0,Q3,"1,530.9",4-3.5 (סך הכל)
71,2019.0,Q4,"1,519.8",4-3.5 (סך הכל)
72,2020.0,Q1,"1,604.5",4-3.5 (סך הכל)
73,2020.0,Q2,"1,540.8",4-3.5 (סך הכל)
74,2020.0,Q3,"1,553.8",4-3.5 (סך הכל)
75,2020.0,Q4,"1,599.7",4-3.5 (סך הכל)
76,2021.0,Q1,"1,679.1",4-3.5 (סך הכל)
77,2021.0,Q2,"1,698.8",4-3.5 (סך הכל)
78,2021.0,Q3,"1,712.8",4-3.5 (סך הכל)
79,2021.0,Q4,"1,736.3",4-3.5 (סך הכל)
80,2017.0,Q1,"1,949.7",5-4.5 (סך הכל)
81,2017.0,Q2,"1,951.0",5-4.5 (סך הכל)
82,2017.0,Q3,"1,938.1",5-4.5 (סך הכל)
83,2017.0,Q4,"1,967.7",5-4.5 (סך הכל)
84,2018.0,Q1,"1,960.1",5-4.5 (סך הכל)
85,2018.0,Q2,"1,990.9",5-4.5 (סך הכל)
86,2018.0,Q3,"1,916.2",5-4.5 (סך הכל)
87,2018.0,Q4,"1,893.9",5-4.5 (סך הכל)
88,2019.0,Q1,"1,917.5",5-4.5 (סך הכל)
89,2019.0,Q2,"1,931.5",5-4.5 (סך הכל)
90,2019.0,Q3,"1,890.3",5-4.5 (סך הכל)
91,2019.0,Q4,"1,907.9",5-4.5 (סך הכל)
92,2020.0,Q1,"1,968.1",5-4.5 (סך הכל)
93,2020.0,Q2,"1,847.2",5-4.5 (סך הכל)
94,2020.0,Q3,"1,933.7",5-4.5 (סך הכל)
95,2020.0,Q4,"2,025.6",5-4.5 (סך הכל)
96,2021.0,Q1,"2,178.1",5-4.5 (סך הכל)
97,2021.0,Q2,"2,220.2",5-4.5 (סך הכל)
98,2021.0,Q3,"2,287.0",5-4.5 (סך הכל)
99,2021.0,Q4,"2,316.1",5-4.5 (סך הכל)
100,2017.0,Q1,"2,417.4",6-5.5 (סך הכל)
101,2017.0,Q2,"2,524.9",6-5.5 (סך הכל)
102,2017.0,Q3,"2,517.0",6-5.5 (סך הכל)
103,2017.0,Q4,"2,522.9",6-5.5 (סך הכל)
104,2018.0,Q1,"2,524.6",6-5.5 (סך הכל)
105,2018.0,Q2,"2,403.8",6-5.5 (סך הכל)
106,2018.0,Q3,"2,436.6",6-5.5 (סך הכל)
107,2018.0,Q4,"2,449.9",6-5.5 (סך הכל)
108,2019.0,Q1,"2,337.5",6-5.5 (סך הכל)
109,2019.0,Q2,"2,423.8",6-5.5 (סך הכל)
110,2019.0,Q3,"2,331.4",6-5.5 (סך הכל)
111,2019.0,Q4,"2,361.4",6-5.5 (סך הכל)
112,2020.0,Q1,"2,452.6",6-5.5 (סך הכל)
113,2020.0,Q2,"2,432.7",6-5.5 (סך הכל)
114,2020.0,Q3,"2,457.2",6-5.5 (סך הכל)
115,2020.0,Q4,"2,485.2",6-5.5 (סך הכל)
116,2021.0,Q1,"2,631.1",6-5.5 (סך הכל)
117,2021.0,Q2,"2,701.1",6-5.5 (סך הכל)
118,2021.0,Q3,"2,847.8",6-5.5 (סך הכל)
119,2021.0,Q4,"2,834.8",6-5.5 (סך הכל)
120,2017.0,Q1,"1,852.5",מחוז ירושלים - 1
121,2017.0,Q2,"1,854.1",מחוז ירושלים - 1
122,2017.0,Q3,"1,884.8",מחוז ירושלים - 1
123,2017.0,Q4,"1,858.3",מחוז ירושלים - 1
124,2018.0,Q1,"1,777.5",מחוז ירושלים - 1
125,2018.0,Q2,"1,888.3",מחוז ירושלים - 1
126,2018.0,Q3,"1,903.8",מחוז ירושלים - 1
127,2018.0,Q4,"1,804.9",מחוז ירושלים - 1
128,2019.0,Q1,"1,656.1",מחוז ירושלים - 1
129,2019.0,Q2,"1,799.3",מחוז ירושלים - 1
130,2019.0,Q3,"1,675.0",מחוז ירושלים - 1
131,2019.0,Q4,"1,586.3",מחוז ירושלים - 1
132,2020.0,Q1,"1,892.8",מחוז ירושלים - 1
133,2020.0,Q2,"1,827.6",מחוז ירושלים - 1
134,2020.0,Q3,"1,812.7",מחוז ירושלים - 1
135,2020.0,Q4,"1,854.5",מחוז ירושלים - 1
136,2021.0,Q1,"1,912.6",מחוז ירושלים - 1
137,2021.0,Q2,"1,960.2",מחוז ירושלים - 1
138,2021.0,Q3,"2,085.9",מחוז ירושלים - 1
139,2021.0,Q4,"2,096.7",מחוז ירושלים - 1
140,2017.0,Q1,"1,215.1",1-2 (מחוז ירושלים - 1)
141,2017.0,Q2,"1,248.9",1-2 (מחוז ירושלים - 1)
142,2017.0,Q3,"1,225.0",1-2 (מחוז ירושלים - 1)
143,2017.0,Q4,"1,243.4",1-2 (מחוז ירושלים - 1)
144,2018.0,Q1,"1,204.0",1-2 (מחוז ירושלים - 1)
145,2018.0,Q2,"1,179.5",1-2 (מחוז ירושלים - 1)
146,2018.0,Q3,"1,218.5",1-2 (מחוז ירושלים - 1)
147,2018.0,Q4,"1,234.1",1-2 (מחוז ירושלים - 1)
148,2019.0,Q1,"1,148.8",1-2 (מחוז ירושלים - 1)
149,2019.0,Q2,"1,231.0",1-2 (מחוז ירושלים - 1)
150,2019.0,Q3,"1,362.7",1-2 (מחוז ירושלים - 1)
151,2019.0,Q4,"1,302.9",1-2 (מחוז ירושלים - 1)
152,2020.0,Q1,"1,311.0",1-2 (מחוז ירושלים - 1)
153,2020.0,Q2,"1,282.9",1-2 (מחוז ירושלים - 1)
154,2020.0,Q3,"1,431.6",1-2 (מחוז ירושלים - 1)
155,2020.0,Q4,"1,508.4",1-2 (מחוז ירושלים - 1)
156,2021.0,Q1,"1,424.4",1-2 (מחוז ירושלים - 1)
157,2021.0,Q2,"1,442.3",1-2 (מחוז ירושלים - 1)
158,2021.0,Q3,"1,433.0",1-2 (מחוז ירושלים - 1)
159,2021.0,Q4,"1,439.7",1-2 (מחוז ירושלים - 1)
160,2017.0,Q1,"1,501.1",3-2.5 (מחוז ירושלים - 1)
161,2017.0,Q2,"1,533.3",3-2.5 (מחוז ירושלים - 1)
162,2017.0,Q3,"1,578.3",3-2.5 (מחוז ירושלים - 1)
163,2017.0,Q4,"1,484.8",3-2.5 (מחוז ירושלים - 1)
164,2018.0,Q1,"1,429.4",3-2.5 (מחוז ירושלים - 1)
165,2018.0,Q2,"1,544.4",3-2.5 (מחוז ירושלים - 1)
166,2018.0,Q3,"1,517.4",3-2.5 (מחוז ירושלים - 1)
167,2018.0,Q4,"1,475.1",3-2.5 (מחוז ירושלים - 1)
168,2019.0,Q1,"1,330.5",3-2.5 (מחוז ירושלים - 1)
169,2019.0,Q2,"1,452.1",3-2.5 (מחוז ירושלים - 1)
170,2019.0,Q3,"1,309.1",3-2.5 (מחוז ירושלים - 1)
171,2019.0,Q4,"1,250.7",3-2.5 (מחוז ירושלים - 1)
172,2020.0,Q1,"1,541.7",3-2.5 (מחוז ירושלים - 1)
173,2020.0,Q2,"1,478.6",3-2.5 (מחוז ירושלים - 1)
174,2020.0,Q3,"1,443.4",3-2.5 (מחוז ירושלים - 1)
175,2020.0,Q4,"1,402.3",3-2.5 (מחוז ירושלים - 1)
176,2021.0,Q1,"1,543.2",3-2.5 (מחוז ירושלים - 1)
177,2021.0,Q2,"1,520.2",3-2.5 (מחוז ירושלים - 1)
178,2021.0,Q3,"1,698.5",3-2.5 (מחוז ירושלים - 1)
179,2021.0,Q4,"1,706.5",3-2.5 (מחוז ירושלים - 1)
180,2017.0,Q1,"1,864.2",4-3.5 (מחוז ירושלים - 1)
181,2017.0,Q2,"1,907.8",4-3.5 (מחוז ירושלים - 1)
182,2017.0,Q3,"1,915.5",4-3.5 (מחוז ירושלים - 1)
183,2017.0,Q4,"1,937.2",4-3.5 (מחוז ירושלים - 1)
184,2018.0,Q1,"1,789.3",4-3.5 (מחוז ירושלים - 1)
185,2018.0,Q2,"1,997.2",4-3.5 (מחוז ירושלים - 1)
186,2018.0,Q3,"2,021.1",4-3.5 (מחוז ירושלים - 1)
187,2018.0,Q4,"1,859.0",4-3.5 (מחוז ירושלים - 1)
188,2019.0,Q1,"1,751.3",4-3.5 (מחוז ירושלים - 1)
189,2019.0,Q2,"1,984.6",4-3.5 (מחוז ירושלים - 1)
190,2019.0,Q3,"1,791.6",4-3.5 (מחוז ירושלים - 1)
191,2019.0,Q4,"1,729.8",4-3.5 (מחוז ירושלים - 1)
192,2020.0,Q1,"2,028.5",4-3.5 (מחוז ירושלים - 1)
193,2020.0,Q2,"1,896.4",4-3.5 (מחוז ירושלים - 1)
194,2020.0,Q3,"1,936.4",4-3.5 (מחוז ירושלים - 1)
195,2020.0,Q4,"2,022.0",4-3.5 (מחוז ירושלים - 1)
196,2021.0,Q1,"2,015.9",4-3.5 (מחוז ירושלים - 1)
197,2021.0,Q2,"2,105.1",4-3.5 (מחוז ירושלים - 1)
198,2021.0,Q3,"2,255.3",4-3.5 (מחוז ירושלים - 1)
199,2021.0,Q4,"2,209.7",4-3.5 (מחוז ירושלים - 1)
200,2017.0,Q1,"2,305.0",5-4.5 (מחוז ירושלים - 1)
201,2017.0,Q2,"2,335.5",5-4.5 (מחוז ירושלים - 1)
202,2017.0,Q3,"2,442.1",5-4.5 (מחוז ירושלים - 1)
203,2017.0,Q4,"2,458.6",5-4.5 (מחוז ירושלים - 1)
204,2018.0,Q1,"2,274.7",5-4.5 (מחוז ירושלים - 1)
205,2018.0,Q2,"2,408.6",5-4.5 (מחוז ירושלים - 1)
206,2018.0,Q3,"2,416.8",5-4.5 (מחוז ירושלים - 1)
207,2018.0,Q4,"2,268.2",5-4.5 (מחוז ירושלים - 1)
208,2019.0,Q1,"2,012.8",5-4.5 (מחוז ירושלים - 1)
209,2019.0,Q2,"2,166.3",5-4.5 (מחוז ירושלים - 1)
210,2019.0,Q3,"2,092.3",5-4.5 (מחוז ירושלים - 1)
211,2019.0,Q4,"2,082.3",5-4.5 (מחוז ירושלים - 1)
212,2020.0,Q1,"2,232.2",5-4.5 (מחוז ירושלים - 1)
213,2020.0,Q2,"2,218.6",5-4.5 (מחוז ירושלים - 1)
214,2020.0,Q3,"2,257.7",5-4.5 (מחוז ירושלים - 1)
215,2020.0,Q4,"2,421.6",5-4.5 (מחוז ירושלים - 1)
216,2021.0,Q1,"2,535.2",5-4.5 (מחוז ירושלים - 1)
217,2021.0,Q2,"2,615.5",5-4.5 (מחוז ירושלים - 1)
218,2021.0,Q3,"2,756.2",5-4.5 (מחוז ירושלים - 1)
219,2021.0,Q4,"2,781.2",5-4.5 (מחוז ירושלים - 1)
220,2017.0,Q1,"3,036.6",6-5.5 (מחוז ירושלים - 1)
221,2017.0,Q2,"2,953.6",6-5.5 (מחוז ירושלים - 1)
222,2017.0,Q3,"2,921.5",6-5.5 (מחוז ירושלים - 1)
223,2017.0,Q4,"2,862.3",6-5.5 (מחוז ירושלים - 1)
224,2018.0,Q1,"2,742.4",6-5.5 (מחוז ירושלים - 1)
225,2018.0,Q2,"2,703.0",6-5.5 (מחוז ירושלים - 1)
226,2018.0,Q3,"2,572.6",6-5.5 (מחוז ירושלים - 1)
227,2018.0,Q4,"2,864.7",6-5.5 (מחוז ירושלים - 1)
228,2019.0,Q1,"2,524.6",6-5.5 (מחוז ירושלים - 1)
229,2019.0,Q2,"2,866.9",6-5.5 (מחוז ירושלים - 1)
230,2019.0,Q3,"2,784.5",6-5.5 (מחוז ירושלים - 1)
231,2019.0,Q4,"2,252.6",6-5.5 (מחוז ירושלים - 1)
232,2020.0,Q1,"3,006.7",6-5.5 (מחוז ירושלים - 1)
233,2020.0,Q2,"2,978.4",6-5.5 (מחוז ירושלים - 1)
234,2020.0,Q3,"2,483.0",6-5.5 (מחוז ירושלים - 1)
235,2020.0,Q4,"2,818.2",6-5.5 (מחוז ירושלים - 1)
236,2021.0,Q1,"2,828.5",6-5.5 (מחוז ירושלים - 1)
237,2021.0,Q2,"3,192.4",6-5.5 (מחוז ירושלים - 1)
238,2021.0,Q3,"3,137.2",6-5.5 (מחוז ירושלים - 1)
239,2021.0,Q4,"3,435.8",6-5.5 (מחוז ירושלים - 1)
240,2017.0,Q1,932.4,מחוז צפון - 2
241,2017.0,Q2,919.2,מחוז צפון - 2
242,2017.0,Q3,926.4,מחוז צפון - 2
243,2017.0,Q4,921.7,מחוז צפון - 2
244,2018.0,Q1,895.5,מחוז צפון - 2
245,2018.0,Q2,926.4,מחוז צפון - 2
246,2018.0,Q3,910.8,מחוז צפון - 2
247,2018.0,Q4,907.3,מחוז צפון - 2
248,2019.0,Q1,925.2,מחוז צפון - 2
249,2019.0,Q2,948.3,מחוז צפון - 2
250,2019.0,Q3,907.8,מחוז צפון - 2
251,2019.0,Q4,938.4,מחוז צפון - 2
252,2020.0,Q1,931.1,מחוז צפון - 2
253,2020.0,Q2,963.1,מחוז צפון - 2
254,2020.0,Q3,953.6,מחוז צפון - 2
255,2020.0,Q4,"1,010.8",מחוז צפון - 2
256,2021.0,Q1,"1,025.2",מחוז צפון - 2
257,2021.0,Q2,"1,005.3",מחוז צפון - 2
258,2021.0,Q3,"1,003.0",מחוז צפון - 2
259,2021.0,Q4,"1,005.5",מחוז צפון - 2
260,2017.0,Q1,405.8,1-2 (מחוז צפון - 2)
261,2017.0,Q2,376.4,1-2 (מחוז צפון - 2)
262,2017.0,Q3,425.6,1-2 (מחוז צפון - 2)
263,2017.0,Q4,410.0,1-2 (מחוז צפון - 2)
264,2018.0,Q1,411.0,1-2 (מחוז צפון - 2)
265,2018.0,Q2,446.4,1-2 (מחוז צפון - 2)
266,2018.0,Q3,447.0,1-2 (מחוז צפון - 2)
267,2018.0,Q4,409.5,1-2 (מחוז צפון - 2)
268,2019.0,Q1,435.6,1-2 (מחוז צפון - 2)
269,2019.0,Q2,419.6,1-2 (מחוז צפון - 2)
270,2019.0,Q3,421.6,1-2 (מחוז צפון - 2)
271,2019.0,Q4,443.5,1-2 (מחוז צפון - 2)
272,2020.0,Q1,418.5,1-2 (מחוז צפון - 2)
273,2020.0,Q2,425.5,1-2 (מחוז צפון - 2)
274,2020.0,Q3,440.3,1-2 (מחוז צפון - 2)
275,2020.0,Q4,449.4,1-2 (מחוז צפון - 2)
276,2021.0,Q1,466.7,1-2 (מחוז צפון - 2)
277,2021.0,Q2,478.0,1-2 (מחוז צפון - 2)
278,2021.0,Q3,484.1,1-2 (מחוז צפון - 2)
279,2021.0,Q4,460.8,1-2 (מחוז צפון - 2)
280,2017.0,Q1,589.6,3-2.5 (מחוז צפון - 2)
281,2017.0,Q2,592.9,3-2.5 (מחוז צפון - 2)
282,2017.0,Q3,602.6,3-2.5 (מחוז צפון - 2)
283,2017.0,Q4,630.9,3-2.5 (מחוז צפון - 2)
284,2018.0,Q1,601.4,3-2.5 (מחוז צפון - 2)
285,2018.0,Q2,615.1,3-2.5 (מחוז צפון - 2)
286,2018.0,Q3,625.9,3-2.5 (מחוז צפון - 2)
287,2018.0,Q4,635.1,3-2.5 (מחוז צפון - 2)
288,2019.0,Q1,606.1,3-2.5 (מחוז צפון - 2)
289,2019.0,Q2,636.5,3-2.5 (מחוז צפון - 2)
290,2019.0,Q3,620.3,3-2.5 (מחוז צפון - 2)
291,2019.0,Q4,650.2,3-2.5 (מחוז צפון - 2)
292,2020.0,Q1,626.1,3-2.5 (מחוז צפון - 2)
293,2020.0,Q2,645.8,3-2.5 (מחוז צפון - 2)
294,2020.0,Q3,655.9,3-2.5 (מחוז צפון - 2)
295,2020.0,Q4,681.2,3-2.5 (מחוז צפון - 2)
296,2021.0,Q1,686.4,3-2.5 (מחוז צפון - 2)
297,2021.0,Q2,673.6,3-2.5 (מחוז צפון - 2)
298,2021.0,Q3,662.3,3-2.5 (מחוז צפון - 2)
299,2021.0,Q4,685.1,3-2.5 (מחוז צפון - 2)
300,2017.0,Q1,945.5,4-3.5 (מחוז צפון - 2)
301,2017.0,Q2,923.2,4-3.5 (מחוז צפון - 2)
302,2017.0,Q3,936.1,4-3.5 (מחוז צפון - 2)
303,2017.0,Q4,910.3,4-3.5 (מחוז צפון - 2)
304,2018.0,Q1,898.4,4-3.5 (מחוז צפון - 2)
305,2018.0,Q2,906.2,4-3.5 (מחוז צפון - 2)
306,2018.0,Q3,942.1,4-3.5 (מחוז צפון - 2)
307,2018.0,Q4,922.5,4-3.5 (מחוז צפון - 2)
308,2019.0,Q1,943.2,4-3.5 (מחוז צפון - 2)
309,2019.0,Q2,981.3,4-3.5 (מחוז צפון - 2)
310,2019.0,Q3,932.6,4-3.5 (מחוז צפון - 2)
311,2019.0,Q4,957.3,4-3.5 (מחוז צפון - 2)
312,2020.0,Q1,933.8,4-3.5 (מחוז צפון - 2)
313,2020.0,Q2,956.1,4-3.5 (מחוז צפון - 2)
314,2020.0,Q3,950.2,4-3.5 (מחוז צפון - 2)
315,2020.0,Q4,"1,007.9",4-3.5 (מחוז צפון - 2)
316,2021.0,Q1,995.9,4-3.5 (מחוז צפון - 2)
317,2021.0,Q2,"1,002.0",4-3.5 (מחוז צפון - 2)
318,2021.0,Q3,"1,034.6",4-3.5 (מחוז צפון - 2)
319,2021.0,Q4,"1,005.3",4-3.5 (מחוז צפון - 2)
320,2017.0,Q1,"1,248.2",5-4.5 (מחוז צפון - 2)
321,2017.0,Q2,"1,244.0",5-4.5 (מחוז צפון - 2)
322,2017.0,Q3,"1,265.2",5-4.5 (מחוז צפון - 2)
323,2017.0,Q4,"1,289.1",5-4.5 (מחוז צפון - 2)
324,2018.0,Q1,"1,299.1",5-4.5 (מחוז צפון - 2)
325,2018.0,Q2,"1,332.7",5-4.5 (מחוז צפון - 2)
326,2018.0,Q3,"1,219.1",5-4.5 (מחוז צפון - 2)
327,2018.0,Q4,"1,249.6",5-4.5 (מחוז צפון - 2)
328,2019.0,Q1,"1,272.4",5-4.5 (מחוז צפון - 2)
329,2019.0,Q2,"1,293.3",5-4.5 (מחוז צפון - 2)
330,2019.0,Q3,"1,251.4",5-4.5 (מחוז צפון - 2)
331,2019.0,Q4,"1,222.8",5-4.5 (מחוז צפון - 2)
332,2020.0,Q1,"1,264.1",5-4.5 (מחוז צפון - 2)
333,2020.0,Q2,"1,233.1",5-4.5 (מחוז צפון - 2)
334,2020.0,Q3,"1,225.5",5-4.5 (מחוז צפון - 2)
335,2020.0,Q4,"1,342.0",5-4.5 (מחוז צפון - 2)
336,2021.0,Q1,"1,402.7",5-4.5 (מחוז צפון - 2)
337,2021.0,Q2,"1,462.9",5-4.5 (מחוז צפון - 2)
338,2021.0,Q3,"1,466.1",5-4.5 (מחוז צפון - 2)
339,2021.0,Q4,"1,426.7",5-4.5 (מחוז צפון - 2)
340,2017.0,Q1,"1,668.5",6-5.5 (מחוז צפון - 2)
341,2017.0,Q2,"1,690.1",6-5.5 (מחוז צפון - 2)
342,2017.0,Q3,"1,619.7",6-5.5 (מחוז צפון - 2)
343,2017.0,Q4,"1,742.6",6-5.5 (מחוז צפון - 2)
344,2018.0,Q1,"1,639.2",6-5.5 (מחוז צפון - 2)
345,2018.0,Q2,"1,572.3",6-5.5 (מחוז צפון - 2)
346,2018.0,Q3,"1,581.5",6-5.5 (מחוז צפון - 2)
347,2018.0,Q4,"1,667.5",6-5.5 (מחוז צפון - 2)
348,2019.0,Q1,"1,516.9",6-5.5 (מחוז צפון - 2)
349,2019.0,Q2,"1,551.6",6-5.5 (מחוז צפון - 2)
350,2019.0,Q3,"1,608.4",6-5.5 (מחוז צפון - 2)
351,2019.0,Q4,"1,479.6",6-5.5 (מחוז צפון - 2)
352,2020.0,Q1,"1,770.8",6-5.5 (מחוז צפון - 2)
353,2020.0,Q2,"1,685.5",6-5.5 (מחוז צפון - 2)
354,2020.0,Q3,"1,699.6",6-5.5 (מחוז צפון - 2)
355,2020.0,Q4,"1,715.1",6-5.5 (מחוז צפון - 2)
356,2021.0,Q1,"1,680.0",6-5.5 (מחוז צפון - 2)
357,2021.0,Q2,"1,815.8",6-5.5 (מחוז צפון - 2)
358,2021.0,Q3,"1,799.7",6-5.5 (מחוז צפון - 2)
359,2021.0,Q4,"1,760.8",6-5.5 (מחוז צפון - 2)
360,2017.0,Q1,"1,210.7",מחוז חיפה - 3
361,2017.0,Q2,"1,192.2",מחוז חיפה - 3
362,2017.0,Q3,"1,208.9",מחוז חיפה - 3
363,2017.0,Q4,"1,190.0",מחוז חיפה - 3
364,2018.0,Q1,"1,193.6",מחוז חיפה - 3
365,2018.0,Q2,"1,218.9",מחוז חיפה - 3
366,2018.0,Q3,"1,195.7",מחוז חיפה - 3
367,2018.0,Q4,"1,198.2",מחוז חיפה - 3
368,2019.0,Q1,"1,243.6",מחוז חיפה - 3
369,2019.0,Q2,"1,234.7",מחוז חיפה - 3
370,2019.0,Q3,"1,200.0",מחוז חיפה - 3
371,2019.0,Q4,"1,191.7",מחוז חיפה - 3
372,2020.0,Q1,"1,233.9",מחוז חיפה - 3
373,2020.0,Q2,"1,241.8",מחוז חיפה - 3
374,2020.0,Q3,"1,238.5",מחוז חיפה - 3
375,2020.0,Q4,"1,227.5",מחוז חיפה - 3
376,2021.0,Q1,"1,273.9",מחוז חיפה - 3
377,2021.0,Q2,"1,243.7",מחוז חיפה - 3
378,2021.0,Q3,"1,263.9",מחוז חיפה - 3
379,2021.0,Q4,"1,345.3",מחוז חיפה - 3
380,2017.0,Q1,550.7,1-2 (מחוז חיפה - 3)
381,2017.0,Q2,594.4,1-2 (מחוז חיפה - 3)
382,2017.0,Q3,592.7,1-2 (מחוז חיפה - 3)
383,2017.0,Q4,613.6,1-2 (מחוז חיפה - 3)
384,2018.0,Q1,603.6,1-2 (מחוז חיפה - 3)
385,2018.0,Q2,587.4,1-2 (מחוז חיפה - 3)
386,2018.0,Q3,641.5,1-2 (מחוז חיפה - 3)
387,2018.0,Q4,582.3,1-2 (מחוז חיפה - 3)
388,2019.0,Q1,638.4,1-2 (מחוז חיפה - 3)
389,2019.0,Q2,630.0,1-2 (מחוז חיפה - 3)
390,2019.0,Q3,635.4,1-2 (מחוז חיפה - 3)
391,2019.0,Q4,609.6,1-2 (מחוז חיפה - 3)
392,2020.0,Q1,585.6,1-2 (מחוז חיפה - 3)
393,2020.0,Q2,577.3,1-2 (מחוז חיפה - 3)
394,2020.0,Q3,635.3,1-2 (מחוז חיפה - 3)
395,2020.0,Q4,609.2,1-2 (מחוז חיפה - 3)
396,2021.0,Q1,632.6,1-2 (מחוז חיפה - 3)
397,2021.0,Q2,631.5,1-2 (מחוז חיפה - 3)
398,2021.0,Q3,651.8,1-2 (מחוז חיפה - 3)
399,2021.0,Q4,662.0,1-2 (מחוז חיפה - 3)
400,2017.0,Q1,823.0,3-2.5 (מחוז חיפה - 3)
401,2017.0,Q2,823.2,3-2.5 (מחוז חיפה - 3)
402,2017.0,Q3,842.1,3-2.5 (מחוז חיפה - 3)
403,2017.0,Q4,818.5,3-2.5 (מחוז חיפה - 3)
404,2018.0,Q1,824.4,3-2.5 (מחוז חיפה - 3)
405,2018.0,Q2,853.9,3-2.5 (מחוז חיפה - 3)
406,2018.0,Q3,829.8,3-2.5 (מחוז חיפה - 3)
407,2018.0,Q4,870.0,3-2.5 (מחוז חיפה - 3)
408,2019.0,Q1,883.4,3-2.5 (מחוז חיפה - 3)
409,2019.0,Q2,874.6,3-2.5 (מחוז חיפה - 3)
410,2019.0,Q3,825.2,3-2.5 (מחוז חיפה - 3)
411,2019.0,Q4,855.1,3-2.5 (מחוז חיפה - 3)
412,2020.0,Q1,826.3,3-2.5 (מחוז חיפה - 3)
413,2020.0,Q2,864.5,3-2.5 (מחוז חיפה - 3)
414,2020.0,Q3,871.4,3-2.5 (מחוז חיפה - 3)
415,2020.0,Q4,870.8,3-2.5 (מחוז חיפה - 3)
